split,model,ablation,n_train,eval_split,decision_type,n_cases,n_seeds,kl_mean,kl_std,jsd_mean,jsd_std,top1_mean,top1_std
S0,nonlinear,full,None,G3,all,5000,5,0.003063538617228583,8.884946862285476e-05,0.0007790278994396133,2.3277360525543604e-05,0.8790400000000002,0.001813284313062928
S0,nonlinear,full,None,G3,location,5000,5,0.003063538617228583,8.884946862285476e-05,0.0007790278994396133,2.3277360525543604e-05,0.8790400000000002,0.001813284313062928
S0,nonlinear,full,None,G4,action,2500,5,0.0008930525890497995,6.879833423202351e-05,0.0002257229387980589,1.7574756411130205e-05,0.9587199999999999,0.005736898116578316
S0,nonlinear,full,None,G4,all,5000,5,0.0014704752065493568,0.00010649716440778732,0.0003714713917314145,2.6572111914199864e-05,0.9458400000000001,0.004773677827419862
S0,nonlinear,full,None,G4,location,2500,5,0.002047897824048914,0.00018308255778877659,0.0005172198446647702,4.5670983400607814e-05,0.9329599999999999,0.005341160922496133
S0,nonlinear,full,None,G5,action,2462,5,0.0011927110787767487,4.314162291838315e-05,0.0003025229790280465,1.116867314391326e-05,0.9536961819658814,0.0029847559822703353
S0,nonlinear,full,None,G5,all,5000,5,0.0022193941843081607,3.6726174218746546e-05,0.0005639670432664343,1.0154146268521942e-05,0.9232400000000001,0.002808558349046731
S0,nonlinear,full,None,G5,location,2538,5,0.0032153334300994672,5.5928831299918805e-05,0.0008175822072360603,1.5354319483120337e-05,0.8936958234830575,0.0030315814123989555
S0,nonlinear,full,None,G6,action,2457,5,0.003685608182723066,0.00010322816429501762,0.0009427489960415682,2.726929737326327e-05,0.882132682132682,0.006740742657539876
S0,nonlinear,full,None,G6,all,5000,5,0.003583978384734018,7.009067912626572e-05,0.0009154619942020467,1.7972139079904918e-05,0.8762000000000001,0.004130375285612672
S0,nonlinear,full,None,G6,location,2543,5,0.003485785536264065,9.640796101484537e-05,0.0008890977930539128,2.4746019620814935e-05,0.8704679512386946,0.005017424430274972
S0,nonlinear,full,None,S0,action,2479,5,0.0021265906256263656,4.848056111265319e-05,0.0005397874784681047,1.2279776063209969e-05,0.9321500605082693,0.0055851459907451445
S0,nonlinear,full,None,S0,all,5000,5,0.0026711024592791293,4.9676438623626694e-05,0.0006788132746239856,1.250243658723298e-05,0.9074,0.0030659419433512027
S0,nonlinear,full,None,S0,location,2521,5,0.003206542695544579,6.468289470741706e-05,0.0008155228932953177,1.7069085577520387e-05,0.8830622768742563,0.002125044860924853
S0,nonlinear,location_only,None,S0,action,2479,5,0.06273938021925683,0.00011596457128122079,0.016565856723271235,7.207492194681543e-05,0.7502218636546996,0.0036683961417957795
S0,nonlinear,location_only,None,S0,all,5000,5,0.03311224742818218,0.00013151728326900154,0.008725152582949532,3.6892349573164956e-05,0.8082800000000001,0.0032422214606655244
S0,nonlinear,location_only,None,S0,location,2521,5,0.003978704314705749,0.0002416552878247853,0.001015075009027476,6.249391127373314e-05,0.8653708845696151,0.005953985191942486
S0,nonlinear,no_context,None,S0,action,2479,5,0.06294321935358063,0.0003169241127354861,0.016868461887534637,9.786410329307289e-05,0.7420734167002825,0.004870821733964856
S0,nonlinear,no_context,None,S0,all,5000,5,0.06923783029823541,0.00025708421844608065,0.0183955125738338,6.42242884863535e-05,0.69852,0.0039839678713563705
S0,nonlinear,no_context,None,S0,location,2521,5,0.07542757267499035,0.0003858958517258768,0.01989712251089673,7.851891668591065e-05,0.6556921856406188,0.00440819333020487
S0,simple,full,1000,S0,action,2479,5,0.05938296141815329,0.0001087891395063934,0.01617993406644102,3.069907677826718e-05,0.6803549818475191,0.0007863488781612799
