idx,O,C,E,A,N,loud_share,conflict_share,coop_share,move_rate,coverage,noise,selected
294,0.40,-0.66,-0.80,0.20,-0.24,0.2650,0.0400,0.1300,1.0000,0.8083,0.1760,0
295,0.08,0.76,0.66,0.76,0.40,0.9100,0.0050,0.9800,0.4550,0.3417,0.3143,0
296,-0.74,0.27,-0.64,-0.43,0.36,0.0000,0.0000,0.0800,0.4550,0.3333,0.1615,0
297,-0.52,0.70,-0.04,0.48,0.52,0.0000,0.0000,0.5950,0.3950,0.3167,0.3308,0
298,0.73,-0.12,0.15,-0.29,0.70,0.3150,0.1300,0.1800,0.9150,0.7583,0.2229,0
299,-0.74,-0.04,-0.75,-0.44,0.08,0.0000,0.0000,0.1200,0.6700,0.3333,0.1082,0
300,-0.51,0.57,0.44,0.64,-0.01,1.0000,0.0000,0.9850,0.7200,0.3333,0.1337,0
301,0.55,0.10,0.72,-0.05,0.19,0.9300,0.2000,0.6150,0.8500,0.5000,0.2213,0
302,-0.67,-0.66,0.64,0.20,0.02,1.0000,0.2200,0.4550,0.9600,0.4500,0.2081,0
303,0.77,0.65,-0.15,-0.65,-0.11,0.1400,0.0550,0.0450,0.9200,0.5250,0.1614,0
304,-0.09,0.73,-0.53,0.67,-0.11,0.0000,0.0000,0.6400,0.7350,0.3333,0.1862,0
305,0.64,-0.12,-0.70,-0.66,0.51,0.0150,0.0100,0.0650,0.9250,0.5250,0.1409,0
306,0.39,-0.06,-0.48,0.59,-0.78,0.4650,0.0000,0.4400,1.0000,0.8583,0.1653,0
307,-0.67,-0.51,0.01,-0.14,-0.02,0.9450,0.5200,0.1050,0.9850,0.5833,0.2124,0
308,0.01,-0.49,-0.05,0.59,-0.80,0.6950,0.0000,0.4450,1.0000,0.7167,0.1334,0
309,-0.23,-0.73,-0.69,-0.71,-0.69,0.5000,0.4850,0.1600,1.0000,0.6667,0.0684,0
310,-0.76,0.78,0.38,0.17,-0.67,1.0000,0.0000,1.0000,0.8700,0.3333,0.0843,0
311,-0.70,-0.57,0.21,-0.05,0.62,0.7500,0.2400,0.3350,0.8550,0.6167,0.3791,0
312,-0.66,0.66,0.77,0.13,-0.72,1.0000,0.0000,1.0000,0.9400,0.3333,0.0800,0
313,0.51,0.58,0.22,0.25,0.48,0.2050,0.0250,0.6150,0.6400,0.4917,0.3464,0
314,0.76,-0.46,-0.50,-0.55,0.72,0.1100,0.0650,0.0900,0.9050,0.6667,0.1966,0
315,-0.28,0.55,-0.44,-0.67,0.59,0.0000,0.0000,0.1100,0.4900,0.3333,0.1755,0
316,0.36,0.00,-0.74,0.52,0.14,0.0100,0.0000,0.2350,0.9350,0.5167,0.1181,0
317,0.01,0.33,0.68,0.46,0.58,0.9450,0.0650,0.8650,0.6800,0.4167,0.2452,0
318,-0.43,0.58,0.22,-0.54,-0.25,1.0000,0.5800,0.2150,0.7550,0.4000,0.1950,0
319,0.39,0.65,-0.52,-0.27,-0.50,0.1250,0.0100,0.0550,0.9850,0.6167,0.1383,0
320,0.54,-0.29,-0.49,-0.51,0.73,0.0500,0.0150,0.0950,0.9050,0.5833,0.2092,0
321,0.38,0.08,0.17,0.65,0.77,0.3700,0.0550,0.5450,0.7650,0.6917,0.3225,0
322,-0.30,-0.75,-0.42,0.69,-0.22,0.5050,0.0000,0.3900,1.0000,0.7500,0.1602,0
323,-0.17,0.64,0.11,-0.07,0.52,0.0900,0.0150,0.4600,0.5750,0.3500,0.3765,0
324,-0.14,-0.02,-0.69,0.32,0.70,0.0050,0.0000,0.2500,0.7150,0.3667,0.2085,0
325,0.65,-0.58,0.59,-0.69,-0.65,0.7050,0.6950,0.0000,1.0000,0.6667,0.0442,0
326,-0.63,0.60,0.03,-0.23,0.27,0.0500,0.0400,0.3850,0.4400,0.3333,0.3919,0
